names,dates
Dabi | Todoroki Touya,30 Mar 2023
Aizawa Shouta | Eraserhead,29 Mar 2023
Todoroki Rei,29 Mar 2023
Todoroki Shouto,29 Mar 2023
Aizawa Shouta | Eraserhead,31 Mar 2023
Todoroki Shouto,31 Mar 2023
Class 1-A (My Hero Academia),31 Mar 2023
Eri (My Hero Academia),31 Mar 2023
Aizawa Shouta | Eraserhead,31 Mar 2023
Todoroki Shouto,31 Mar 2023
Midoriya Izuku,31 Mar 2023
Bakugou Katsuki,31 Mar 2023
Kirishima Eijirou,31 Mar 2023
Kaminari Denki,31 Mar 2023
Asui Tsuyu,31 Mar 2023
Uraraka Ochako,31 Mar 2023
Yaoyorozu Momo,31 Mar 2023
Iida Tenya,31 Mar 2023
Todoroki Enji | Endeavor,31 Mar 2023
Hiccup Horrendous Haddock III,31 Mar 2023
Astrid Hofferson,31 Mar 2023
Snotlout Jorgenson,31 Mar 2023
Fishlegs Ingerman,31 Mar 2023
Ruffnut Thorston,31 Mar 2023
Tuffnut Thorston,31 Mar 2023
Kaminari Denki's Family,31 Mar 2023
Shoji Mezo,31 Mar 2023
Koji Koda,31 Mar 2023
Tokoyami Fumikage,31 Mar 2023
Mineta Minoru,31 Mar 2023
Aizawa Shouta | Eraserhead,31 Mar 2023
Todoroki Shouto,31 Mar 2023
Yamada Hizashi | Present Mic,31 Mar 2023
Aizawa Shouta | Eraserhead,30 Mar 2023
Tsukauchi Naomasa,30 Mar 2023
Midoriya Izuku,30 Mar 2023
Bakugou Katsuki,30 Mar 2023
Original Characters,30 Mar 2023
Original Female Character(s),30 Mar 2023
Original Child Character(s),30 Mar 2023
Tamakawa Sansa,30 Mar 2023
Yagi Toshinori | All Might,30 Mar 2023
Aizawa Shouta | Eraserhead,29 Mar 2023
Tsukauchi Naomasa,29 Mar 2023
Yamada Hizashi | Present Mic,29 Mar 2023
Takagi Ken | Rock Lock,29 Mar 2023
Class 1-A (My Hero Academia),29 Mar 2023
U.A. Faculty (My Hero Academia),29 Mar 2023
U.A.'s Big Three (My Hero Academia),29 Mar 2023
Chisaki Kai | Overhaul,29 Mar 2023
Eri (My Hero Academia),29 Mar 2023
League of Villains (My Hero Academia),29 Mar 2023
Sensei | All For One,29 Mar 2023
Musutafu Police Department Officers (My Hero Academia),29 Mar 2023
Fukukado Emi | Ms. Joke,29 Mar 2023
Pro Heroes (My Hero Academia),29 Mar 2023
Shinsou Hitoshi,29 Mar 2023
Kaniyashiki Monika,29 Mar 2023
Yagi Toshinori | All Might,29 Mar 2023
Shinsou Hitoshi's Family,29 Mar 2023
Hagakure Tooru,29 Mar 2023
Hagakure Tooru's Parents,29 Mar 2023
Dr. Kyudai Garaki,29 Mar 2023
Midoriya Izuku,29 Mar 2023
Midoriya Inko,29 Mar 2023
Yaoyorozu Momo,29 Mar 2023
Selkie (My Hero Academia),29 Mar 2023
Aizawa Shouta | Eraserhead,02 Apr 2023
Yagi Toshinori | All Might,02 Apr 2023
Nedzu (My Hero Academia),02 Apr 2023
Yamada Hizashi | Present Mic,02 Apr 2023
Kayama Nemuri | Midnight,02 Apr 2023
Snipe (My Hero Academia),02 Apr 2023
Maijima Higari | Power Loader,02 Apr 2023
Ishiyama Ken | Cementoss,02 Apr 2023
Inui Ryou | Hound Dog,02 Apr 2023
Midoriya Izuku,02 Apr 2023
Bakugou Katsuki,02 Apr 2023
Todoroki Shouto,02 Apr 2023
Shinsou Hitoshi,02 Apr 2023
Uraraka Ochako,02 Apr 2023
Shigaraki Tomura | Shimura Tenko,02 Apr 2023
Sensei | All For One,02 Apr 2023
Tsukauchi Naomasa,02 Apr 2023
Shuuzenji Chiyo | Recovery Girl,02 Apr 2023
Takami Keigo | Hawks,02 Apr 2023
Todoroki Enji | Endeavor,02 Apr 2023
Dabi | Todoroki Touya,02 Apr 2023
Toga Himiko,02 Apr 2023
Class 1-A (My Hero Academia),02 Apr 2023
Aizawa Shouta | Eraserhead,31 Mar 2023
Yagi Toshinori | All Might,31 Mar 2023
Nezu,31 Mar 2023
Yamada Hizashi | Present Mic,31 Mar 2023
Original Characters,31 Mar 2023
Kayama Nemuri | Midnight,31 Mar 2023
Aizawa Shouta | Eraserhead,01 Apr 2023
Yagi Toshinori | All Might,01 Apr 2023
Original Female Character(s) of Color,01 Apr 2023
Original Male Character(s) of Color,01 Apr 2023
Nicolas Brown,01 Apr 2023
Worick Arcangelo,01 Apr 2023
Alex Benedetto,01 Apr 2023
Aizawa Shouta | Eraserhead,01 Apr 2023
Yagi Toshinori | All Might,01 Apr 2023
Sensei | All For One,01 Apr 2023
Akaguro Chizome | Stain,01 Apr 2023
Sako Atsuhiro | Mr. Compress,01 Apr 2023
League of Villains (My Hero Academia),01 Apr 2023
Pro Heroes (My Hero Academia),01 Apr 2023
Aizawa Shouta | Eraserhead,02 Apr 2023
Yagi Toshinori | All Might,02 Apr 2023
Todoroki Enji | Endeavor,02 Apr 2023
Aoyama Yuuga,02 Apr 2023
Ashido Mina,02 Apr 2023
Asui Tsuyu,02 Apr 2023
Iida Tenya,02 Apr 2023
Uraraka Ochako,02 Apr 2023
Ojiro Mashirao,02 Apr 2023
Kaminari Denki,02 Apr 2023
Kirishima Eijirou,02 Apr 2023
Kouda Kouji,02 Apr 2023
Satou Rikidou,02 Apr 2023
Shouji Mezou,02 Apr 2023
Jirou Kyouka,02 Apr 2023
Sero Hanta,02 Apr 2023
Tokoyami Fumikage,02 Apr 2023
Todoroki Shouto,02 Apr 2023
Hagakure Tooru,02 Apr 2023
Bakugou Katsuki,02 Apr 2023
Midoriya Izuku,02 Apr 2023
Mineta Minoru,02 Apr 2023
Yaoyorozu Momo,02 Apr 2023
Shigaraki Tomura | Shimura Tenko,02 Apr 2023
Toga Himiko,02 Apr 2023
Dabi | Todoroki Touya,02 Apr 2023
Iguchi Shuuichi | Spinner,02 Apr 2023
Bubaigawara Jin | Twice,02 Apr 2023
Kurogiri (My Hero Academia),02 Apr 2023
Shinsou Hitoshi,02 Apr 2023
Hatsume Mei,02 Apr 2023
Aizawa Shouta | Eraserhead,31 Mar 2023
Yagi Toshinori | All Might,31 Mar 2023
Todoroki Enji | Endeavor,31 Mar 2023
Dabi | Todoroki Touya,31 Mar 2023
Takami Keigo | Hawks,31 Mar 2023
Usagiyama Rumi | Miruko,31 Mar 2023
Aizawa Shouta | Eraserhead,31 Mar 2023
Yagi Toshinori | All Might,31 Mar 2023
Yamada Hizashi | Present Mic,31 Mar 2023
Midoriya Izuku,31 Mar 2023
Shinsou Hitoshi,31 Mar 2023
Bakugou Katsuki,31 Mar 2023
Nedzu (My Hero Academia),31 Mar 2023
Aizawa Shouta | Eraserhead,31 Mar 2023
Yagi Toshinori | All Might,31 Mar 2023
Yamada Hizashi | Present Mic,31 Mar 2023
Nezu,31 Mar 2023
U.A. Students (My Hero Academia),31 Mar 2023
Tsukauchi Naomasa,31 Mar 2023
Bakugou Katsuki,31 Mar 2023
Bakugou Mitsuki,31 Mar 2023
Bakugou Masaru,31 Mar 2023
Midoriya Inko,31 Mar 2023
Midoriya Izuku,31 Mar 2023
Uraraka Ochako,31 Mar 2023
Uraraka Ochako's Parents,31 Mar 2023
Ashido Mina,31 Mar 2023
Asui Tsuyu,31 Mar 2023
Asui Tsuyu's Family,31 Mar 2023
League of Villains (My Hero Academia),31 Mar 2023
Takami Keigo | Hawks,31 Mar 2023
Todoroki Shouto,31 Mar 2023
Todoroki Family (My Hero Academia),31 Mar 2023
Shinsou Hitoshi,31 Mar 2023
Kirishima Eijirou,31 Mar 2023
Sero Hanta,31 Mar 2023
there are more characters but i'm too lazy to put them all,31 Mar 2023
Aizawa Shouta | Eraserhead,30 Mar 2023
Yamada Hizashi | Present Mic,30 Mar 2023
Aizawa Shouta | Eraserhead,31 Mar 2023
Yamada Hizashi | Present Mic,31 Mar 2023
Aizawa Shouta | Eraserhead,28 Mar 2023
Yamada Hizashi | Present Mic,28 Mar 2023
Class 1-A (My Hero Academia),28 Mar 2023
Eri (My Hero Academia),28 Mar 2023
Aizawa Shouta | Eraserhead,31 Mar 2023
Yamada Hizashi | Present Mic,31 Mar 2023
Class 1-A (My Hero Academia),31 Mar 2023
Iida Tenya's Family,31 Mar 2023
Original Characters,31 Mar 2023
Iida Tenya,31 Mar 2023
Aizawa Shouta | Eraserhead,28 Mar 2023
Yamada Hizashi | Present Mic,28 Mar 2023
Class 1-A (My Hero Academia),28 Mar 2023
Shinsou Hitoshi,28 Mar 2023
Eri (My Hero Academia),28 Mar 2023
Iida Tensei | Ingenium,28 Mar 2023
Kayama Nemuri | Midnight,28 Mar 2023
Kaminari Denki,28 Mar 2023
Jirou Kyouka,28 Mar 2023
Kouda Kouji,28 Mar 2023
Iida Tenya,28 Mar 2023
Shouji Mezou,28 Mar 2023
Satou Rikidou,28 Mar 2023
Bakugou Katsuki,28 Mar 2023
Kirishima Eijirou,28 Mar 2023
Ashido Mina,28 Mar 2023
Sero Hanta,28 Mar 2023
Yaoyorozu Momo,28 Mar 2023
Asui Tsuyu,28 Mar 2023
Ojiro Mashirao,28 Mar 2023
Hagakure Tooru,28 Mar 2023
Todoroki Shouto,28 Mar 2023
Tokoyami Fumikage,28 Mar 2023
Dark Shadow (My Hero Academia),28 Mar 2023
Midoriya Izuku,28 Mar 2023
