title,mixed fandom,ships,characters,hits,kudos,published,Deku,Bakugo,Deku & Bakugo,Aizawa,Prez Mic,Aizawa & Prez Mic,Aizawa & Deku,Enjiro,Bakugo & Kirishima,Shoto,Deku & Shoto,Dabi,Hawks,Dabi & Hawks,Uraraka,Deku & Uraraka,All Might,Deku & All Might,Class,Deku & Class,Denki,Shinsou,Denki & Shinsou,Deku & Shinsou,Reader,Bakugo & Reader,Bakugo & Shoto,Deku & Prez Mic,Mina,Kirashima,Mina & Kirashima,Jirou,Jirou & Denki,Shigaraki Tomura,Deku & Shigaraki Tomura,Aizawa & Shinsou,Nedzu,Deku & Nedzu,Deku & Reader
Nedzu's Personal Assistant,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Midoriya Izuku & Nedzu', 'Bakugou Katsuki & Midoriya Izuku', 'Aizawa Shouta | Eraserhead & Midoriya Izuku', 'Midoriya Izuku & Shinsou Hitoshi', 'Midoriya Izuku & Yamada Hizashi | Present Mic', 'Class 1-A & Midoriya Izuku', 'Midoriya Inko & Midoriya Izuku']","['Midoriya Izuku', 'Midoriya Inko', 'Nedzu (My Hero Academia)', 'Bakugou Katsuki', 'Aizawa Shouta | Eraserhead', 'Shinsou Hitoshi', 'Yamada Hizashi | Present Mic', 'Class 1-A (My Hero Academia)']",5508,440.0,2023-03-08,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
Pregnancy Looks Good On En,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],['Banjou Daigorou | Lariat/Sixth One for All User'],"['Sixth One for All User (My Hero Academia)', 'Banjou Daigorou | Lariat', 'Original Child Character(s)']",1387,14.0,2023-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""You call it 'torturing', I call it 'mercy killing'. Same difference.""",['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],['Bakugou Katsuki & Kirishima Eijirou'],"['Kirishima Eijirou', 'Shinsou Hitoshi', 'Bakugou Katsuki']",111,13.0,2023-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
My-Neighbours-Who-Are-Incredibly-Nosy-And-Sometimes-Mean-Spirited,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"[""Bakugou Katsuki & Bakugou Katsuki's Family"", 'Bakugou Katsuki/Reader', 'Bakugou Katsuki/Kirishima Eijirou', 'Bakugou Katsuki/Kirishima Eijirou/Reader']","['Bakugou Katsuki', 'Bakugou Mitsuki', ""Bakugou Katsuki's Parents"", ""Bakugou Katsuki's Family"", 'Kirishima Eijirou', 'Midoriya Izuku', 'Reader']",733,36.0,2023-03-06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Project Study Date,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],['Bakugou Katsuki/Midoriya Izuku'],"['Bakugou Katsuki', 'Midoriya Izuku', 'Ashido Mina']",749,53.0,2023-03-06,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I Find My Prey (I Find My Way),['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Midoriya Izuku/Shinsou Hitoshi', 'Bakugou Katsuki/Kirishima Eijirou', 'Bakugou Katsuki & Midoriya Izuku', 'Midoriya Izuku & Todoroki Shouto', 'Midoriya Izuku & Yagi Toshinori | All Might']","['Midoriya Izuku', 'Yagi Toshinori | All Might', 'Bakugou Katsuki', 'Shinsou Hitoshi', 'Todoroki Shouto', 'Aizawa Shouta | Eraserhead', 'Tsukauchi Naomasa']",1684,119.0,2023-03-06,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
I'll Eat When I'm Dead,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Bakugou Katsuki & Midoriya Izuku', 'Bakugou Katsuki/Todoroki Shouto', 'Bakugou Katsuki & Midoriya Izuku & Todoroki Shouto']","['Bakugou Katsuki', 'Midoriya Izuku', 'Todoroki Shouto']",1585,144.0,2023-03-06,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Vanilla Beans and Spice,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Todoroki Shouto & Everyone', 'Todoroki Rei & Todoroki Shouto', 'Bakugou Katsuki & Todoroki Shouto', 'Bakugou Katsuki/Todoroki Shouto', 'Todoroki Shouto/Happiness']","['Todoroki Shouto', 'Todoroki Rei', 'Bakugou Katsuki', 'Todoroki Fuyumi', 'Todoroki Natsuo', 'Todoroki Family (My Hero Academia)', 'Class 1-A (My Hero Academia)']",2992,227.0,2023-03-06,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Alpha or Omega? Maybe Both?,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Midoriya Izuku/Past One For All Users', 'Midoriya Izuku/Yoichi | First One For All User', 'Midoriya Izuku/Second One For All User', 'Midoriya Izuku/Third One For All User', 'Midoriya Izuku/Shinomori Hikage', 'Banjou Daigorou | Lariat/Midoriya Izuku', 'Midoriya Izuku/Sixth One For All User', 'Midoriya Izuku/Shimura Nana', 'Banjou Daigorou | Lariat/Shinomori Hikage', 'Second One For All User/Third One For All User/Yoichi | First One For All User (My Hero Academia)']","['Midoriya Izuku', 'Yoichi | First One For All User (My Hero Academia)', 'Second One For All User (My Hero Academia)', 'Third One For All User (My Hero Academia)', 'Shinomori Hikage', 'Banjou Daigorou | Lariat', 'Sixth One for All User (My Hero Academia)', 'Shimura Nana', 'Shuuzenji Chiyo | Recovery Girl', 'Yagi Toshinori | All Might', 'Aizawa Shouta | Eraserhead', 'Class 1-A (My Hero Academia)']",924,32.0,2023-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inarticulation,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Midoriya Izuku & Shinsou Hitoshi', 'Kaminari Denki/Midoriya Izuku', 'Kaminari Denki & Shinsou Hitoshi']","['Midoriya Izuku', 'Shinsou Hitoshi']",81,19.0,2023-03-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
