title,mixed fandom,ships,characters,hits,kudos,published
i'm burnin' up (for you baby),['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Bakugou Katsuki/Todoroki Shouto'],"['Bakugou Katsuki', 'Todoroki Shouto', 'Midoriya Izuku']",4303,631,25 Aug 2022
A Show Worth Watching,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Bubaigawara Jin | Twice/Sako Atsuhiro | Mr. Compress', 'mention of Giran/Twice/Mister']","['Bubaigawara Jin | Twice', 'Sako Atsuhiro | Mr. Compress', 'Okuta Kagerou | Giran']",414,22,25 Aug 2022
I Know You Better than Most,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Ashido Mina/Male Reader'],"['Ashido Mina', 'Male Reader']",300,9,25 Aug 2022
The Analytical Hero: Ace,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Midoriya Izuku & Yagi Toshinori | All Might', 'Bakugou Katsuki & Midoriya Izuku', 'Midoriya Izuku & Shinsou Hitoshi', 'Midoriya Izuku & Original Character(s)', 'Midoriya Izuku & Monoma Neito']","['Midoriya Izuku', 'Class 1-A (My Hero Academia)', 'Yagi Toshinori | All Might', 'Aizawa Shouta | Eraserhead', 'Midoriya Inko', 'Bakugou Katsuki', 'League of Villains (My Hero Academia)', 'Shinsou Hitoshi', 'Monoma Neito']",5369,145,23 Aug 2022
it's never easy to hold onto happy,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],[],"['Midoriya Izuku', 'Toogata Mirio', 'Iida Tenya', 'Asui Tsuyu', 'Uraraka Ochako', 'Todoroki Shouto']",5758,746,23 Aug 2022
Open heart,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Akaguro Chizome | Stain/Midoriya Izuku'],"['Akaguro Chizome | Stain', 'Midoriya Izuku']",1365,154,22 Aug 2022
Shinkansen: the train that brought me to you,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Bakugou Katsuki/Midoriya Izuku'],"['Bakugou Katsuki', 'Midoriya Izuku']",344,11,22 Aug 2022
my tears ricochet,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Bakugou Katsuki/Midoriya Izuku', 'Dabi | Todoroki Touya/Midoriya Izuku']","['Midoriya Izuku', 'Bakugou Katsuki', 'Dabi | Todoroki Touya', 'Utsushimi Camie', 'Todoroki Shouto', 'Kirishima Eijirou', 'Kaminari Denki', 'Ashido Mina', 'Sero Hanta', 'Uraraka Ochako']",2597,165,22 Aug 2022
Warm,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Aizawa Shouta | Eraserhead/Midoriya Izuku'],"['Midoriya Izuku', 'Aizawa Shouta | Eraserhead']",8057,252,22 Aug 2022
All Aboard,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Dabi | Todoroki Touya/Takami Keigo | Hawks/Usagiyama Rumi | Miruko', 'Dabi | Todoroki Touya/Usagiyama Rumi | Miruko', 'Takami Keigo | Hawks/Usagiyama Rumi | Miruko', 'Dabi | Todoroki Touya/Takami Keigo | Hawks']","['Usagiyama Rumi | Miruko', 'Dabi | Todoroki Touya', 'Takami Keigo | Hawks']",2054,127,22 Aug 2022
Heroic Revolution,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic'],"['Midoriya Inko', 'Aizawa Shouta | Eraserhead', 'Kayama Nemuri | Midnight', 'Yamada Hizashi | Present Mic', 'Fukukado Emi | Ms. Joke', 'Class 1-A (My Hero Academia)', 'Class 1-B (My Hero Academia)', 'Maijima Higari | Power Loader', 'Ishiyama Ken | Cementoss', 'Takami Keigo | Hawks', 'League of Villains (My Hero Academia)', 'Pro Heroes (My Hero Academia)', 'Nedzu (My Hero Academia)']",267,30,23 Aug 2022
A Second Chance?,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Bakugou Katsuki/Midoriya Izuku'],"['Bakugou Katsuki', 'Midoriya Izuku', 'Eri (My Hero Academia)', 'Aizawa Shouta | Eraserhead', 'Kirishima Eijirou', 'Kaminari Denki', 'Ashido Mina', 'Sero Hanta', 'Jirou Kyouka', 'League of Villains (My Hero Academia)', 'Shigaraki Tomura | Shimura Tenko', 'Uraraka Ochako', 'Iida Tenya', 'Todoroki Shouto', 'Midoriya Inko', 'Yagi Toshinori | All Might']",1743,110,22 Aug 2022
The Weekend that Never Happened,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Bakugou Katsuki & Midoriya Izuku', 'Bakugou Katsuki/Kirishima Eijirou']","['Midoriya Izuku', 'Bakugou Katsuki', 'Kirishima Eijirou', 'Midoriya Inko']",5424,615,22 Aug 2022
Bond,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Bakugou Katsuki & Midoriya Izuku'],[],308,27,22 Aug 2022
the sun doesn't shine (they keep taking you away),['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Midoriya Inko & Midoriya Izuku', 'Midoriya Inko & Yagi Toshinori | All Might', 'Midoriya Inko & Shinsou Hitoshi', 'Midoriya Inko & Uraraka Ochako']","['Midoriya Inko', 'Yagi Toshinori | All Might', 'Uraraka Ochako', 'Shinsou Hitoshi']",448,25,22 Aug 2022
"Child of Lightning, Champion of the Damned","['Fandoms:\nPercy Jackson and the Olympians - Rick Riordan, Percy Jackson and the Olympians & Related Fandoms - All Media Types, 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia']",['Other Relationship Tags to Be Added'],"['Midoriya Izuku', 'Yagi Toshinori | All Might', 'Chiron (Percy Jackson)', 'Bakugou Katsuki', 'Dionysus (Percy Jackson)', 'Zeus (Percy Jackson)', 'Original Demigod Character(s) (Percy Jackson)', 'Thalia Grace', 'Reyna Avila Ramírez-Arellano']",760,47,22 Aug 2022
"If Thirteen says you're family, then you're family",['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Maijima Higari | Power Loader & Thirteen (My Hero Academia)', 'Shigaraki Tomura | Shimura Tenko & Thirteen (My Hero Academia)', 'Takami Keigo | Hawks & Thirteen (My Hero Academia)', 'Maijima Higari | Power Loader & Shigaraki Tomura | Shimura Tenko', 'Shigaraki Tomura | Shimura Tenko & Takami Keigo | Hawks']","['Thirteen (My Hero Academia)', 'Maijima Higari | Power Loader', 'Shigaraki Tomura | Shimura Tenko', 'Takami Keigo | Hawks', 'Other Character Tags to Be Added']",3208,241,22 Aug 2022
baby all at once this is enough,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Bakugou Katsuki/Midoriya Izuku'],"['Bakugou Katsuki', 'Midoriya Izuku']",5322,484,22 Aug 2022
Chisaki Kai - To be a god was a lonely tragedy,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Chisaki Kai | Overhaul & Shie Hassaikai | Eight Precepts of Death', 'Eichi Daiki & Chisaki Kai | Overhaul']","['Chisaki Kai | Overhaul', 'Shie Hassaikai | Eight Precepts of Death', 'Shie Hassaikai Boss | Pops', 'Eichi Daiki', 'Eri (My Hero Academia)']",59,1,22 Aug 2022
On the Side of Evil,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Kaminari Denki/Original Character(s)'],"['Yagi Toshinori | All Might', 'Midoriya Izuku', 'Kaminari Denki', 'Nishiya Shinji | Kamui Woods', 'Bakugou Katsuki', 'Uraraka Ochako', 'Iida Tenya', 'Todoroki Shouto', 'Aizawa Shouta | Eraserhead', 'Yaoyorozu Momo', 'Mineta Minoru', 'Kirishima Eijirou', 'Nezu', 'Kayama Nemuri | Midnight', 'Asui Tsuyu', 'Ashido Mina', 'Jirou Kyouka', 'Shuuzenji Chiyo | Recovery Girl']",561,29,22 Aug 2022
Devilish Delight,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Bakugou Katsuki/Kirishima Eijirou'],"['Bakugou Katsuki', 'Kirishima Eijirou']",1734,111,22 Aug 2022
"Eichi Daiki, the man who left the light to bask in the dark",['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Eichi Daiki & Bakugou Katsuki', 'Eichi Daiki & Chisaki Kai | Overhaul', 'Eichi Daiki/Hirasawa Noriko']","['Original Male Character(s)', 'Bakugou Katsuki', 'Class 1-A (My Hero Academia)', 'Chisaki Kai | Overhaul', 'Eichi Daiki']",87,,22 Aug 2022
"Snap, Crackle and Ice",['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Bakugou Katsuki/Reader', 'Kirishima Eijirou & Reader', 'Bakugou Katsuki & Kirishima Eijirou']","['Bakugou Katsuki', 'Dabi | Todoroki Touya', 'Midoriya Izuku', 'Kirishima Eijirou', 'Original Characters']",3250,125,22 Aug 2022
Sweet Revenge,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Bakugou Katsuki/Kirishima Eijirou', 'Kirishima Eijirou/Midoriya Izuku']","['Bakugou Katsuki', 'Kirishima Eijirou', 'Midoriya Izuku']",3808,74,20 Aug 2022
Good Boy,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Bakugou Katsuki/Kirishima Eijirou'],"['Bakugou Katsuki', 'Kirishima Eijirou']",1598,64,20 Aug 2022
Finding Home,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Aizawa Shouta | Eraserhead & Bakugou Katsuki', 'Bakugou Katsuki & Midoriya Izuku', 'Bakugou Katsuki & Kirishima Eijirou', 'Aizawa Shouta | Eraserhead & Yamada Hizashi | Present Mic']","['Bakugou Katsuki', 'Aizawa Shouta | Eraserhead', 'Midoriya Izuku', 'Kirishima Eijirou', 'Yagi Toshinori | All Might']",2175,206,20 Aug 2022
And The Thunder Rolls,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Kaminari Denki/Shinsou Hitoshi'],"['Kaminari Denki', 'Shinsou Hitoshi', 'Aizawa Shouta | Eraserhead', 'Yamada Hizashi | Present Mic', 'Midoriya Izuku', 'Bakugou Katsuki', 'Kirishima Eijirou', 'Tetsutetsu Tetsutetsu', 'Class 1-A (My Hero Academia)', 'U.A. Students (My Hero Academia)']",477,65,20 Aug 2022
The dreams I shouldn't be having,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Kaminari Denki/Sero Hanta'],"['Kaminari Denki', 'Sero Hanta', 'Kirishima Eijirou', 'Bakugou Katsuki', 'Todoroki Shouto', 'Midoriya Izuku']",546,22,20 Aug 2022
The Baby Boy With Emerald Eyes,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Bakugou Katsuki/Midoriya Izuku/Todoroki Shouto', 'Bakugou Katsuki/Midoriya Izuku', 'Midoriya Izuku/Todoroki Shouto', 'Bakugou Katsuki/Todoroki Shouto']","['Midoriya Izuku', 'Bakugou Katsuki', 'Todoroki Shouto', 'Class 1-A (My Hero Academia)', 'Class 1-B (My Hero Academia)', 'Kirishima Eijirou', 'Shiozaki Ibara']",50604,1576,20 Aug 2022
"If it hurts, it’s love",['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Dabi | Todoroki Touya/Takami Keigo | Hawks'],"['Dabi | Todoroki Touya', 'Takami Keigo | Hawks', 'Chisaki Kai | Overhaul', 'Kurono Hari | Chronostasis']",725,22,20 Aug 2022
Hearts Laid Bare,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Yaoyorozu Momo/Original Male Character(s)'],"['Yaoyorozu Momo', 'Original Characters']",2610,50,20 Aug 2022
I know what I'm doing,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Midoriya Izuku/Mineta Minoru', 'Bakugou Katsuki/Mineta Minoru', 'Kaminari Denki/Mineta Minoru', 'Mineta Minoru/Shouji Mezou', 'Mineta Minoru/Todoroki Shouto', 'Mineta Minoru/Tokoyami Fumikage', 'Iida Tenya/Mineta Minoru', 'Kirishima Eijirou/Mineta Minoru', 'Aoyama Yuuga/Mineta Minoru', 'Mineta Minoru/Sero Hanta', 'Mineta Minoru/Ojiro Mashirao', 'Kouda Kouji/Mineta Minoru', 'Mineta Minoru/Satou Rikidou', 'Mineta Minoru/Everyone', 'Class 1-A & Mineta Minoru', 'MIN - Relationship']","['Class 1-A Boys (My Hero Academia)', 'Mineta Minoru', ""Mineta Minoru's Parents""]",2517,107,20 Aug 2022
Yami [ 闇 ] | Hero of Darkness,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Midoriya Hisashi/Midoriya Inko', 'Midoriya Inko & Midoriya Izuku', 'Midoriya Hisashi & Midoriya Izuku', 'Bakugou Katsuki & Midoriya Izuku']","['Midoriya Izuku', 'Midoriya Inko', 'Midoriya Hisashi', 'Bakugou Katsuki']",240,17,20 Aug 2022
Day 20: Babysitting a.k.a. Promises in Time,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Bakugou Katsuki/Kirishima Eijirou'],"['Bakugou Katsuki', 'Kirishima Eijirou', 'Aizawa Shouta | Eraserhead', 'Class 1-A (My Hero Academia)']",2182,352,20 Aug 2022
Baby,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Bakugou Katsuki/Midoriya Izuku', 'Bakugou Katsuki & Midoriya Izuku']","['Midoriya Izuku', 'Bakugou Katsuki', 'Kaminari Denki', 'Todoroki Shouto', 'Kirishima Eijirou']",1636,57,20 Aug 2022
Grape Rush,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Ashido Mina/Mineta Minoru', 'Mineta Minoru/Yaoyorozu Momo', 'Kayama Nemuri | Midnight/Mineta Minoru', 'Mineta Minoru/Toga Himiko', 'Asui Tsuyu/Mineta Minoru', 'Jirou Kyouka/Mineta Minoru', 'Mineta Minoru/Uraraka Ochako', 'Hagakure Tooru/Mineta Minoru', 'Mineta Minoru/Utsushimini Camie']","['Mineta Minoru', 'Ashido Mina', 'Yaoyorozu Momo', 'Kayama Nemuri | Midnight', 'Toga Himiko', 'Asui Tsuyu', 'Jirou Kyouka', 'Uraraka Ochako', 'Hagakure Tooru', 'Utsushimi Camie']",60411,371,20 Aug 2022
Pink Madness (Old Habits Die Hard),['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Ashido Mina/Toga Himiko', 'Ashido Mina & Toga Himiko']","['Toga Himiko', 'Ashido Mina']",205,4,20 Aug 2022
To the End,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Bakugou Katsuki/Kirishima Eijirou', 'Aizawa Shouta | Eraserhead & Bakugou Katsuki', 'Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic']","['Bakugou Katsuki', 'Kirishima Eijirou', 'Aizawa Shouta | Eraserhead', 'Kaminari Denki', 'Shinsou Hitoshi', 'Yamada Hizashi | Present Mic', 'Bakugou Mitsuki', 'Bakugou Masaru', 'Midoriya Izuku', 'Ashido Mina', 'Sero Hanta']",794,71,20 Aug 2022
What Could've Been,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Aizawa Shouta | Eraserhead & Midoriya Izuku', 'Bakugou Katsuki & Midoriya Izuku']","['Aizawa Shouta | Eraserhead', 'Midoriya Izuku', 'Yagi Toshinori | All Might', 'Bakugou Katsuki', 'Nedzu (My Hero Academia)']",1836,340,20 Aug 2022
Scare,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Aizawa Shouta | Eraserhead/Midoriya Izuku', 'Aizawa Shouta | Eraserhead/Fukukado Emi | Ms. Joke', 'Midoriya Izuku/Takami Keigo | Hawks', 'implied Midoryia Izuku/Usagiyama Rumi | Miruko']","['Usagiyama Rumi | Miruko', 'Yamada Hizashi | Present Mic', 'Implied Eri']",2565,122,20 Aug 2022
Ghost Face Takes My Hero Academia By Storm,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Bakugou Katsuki/Midoriya Izuku'],"['Midoriya Izuku', 'Bakugou Katsuki', 'Yaoyorozu Momo', 'Jirou Kyouka', 'Kaminari Denki', 'Class 1-A (My Hero Academia)', 'Uraraka Ochako', 'Ashido Mina', 'Sero Hanta', 'Ojiro Mashirao', 'Todoroki Shouto', 'Kirishima Eijirou', 'Asui Tsuyu', 'Iida Tenya', 'Monoma Neito', 'Mineta Minoru', 'Kendou Itsuka', 'Tetsutetsu Tetsutetsu', 'Class 1-B (My Hero Academia)', 'Danny ""Jed Olsen"" Johnson | The Ghost Face']",64,4,20 Aug 2022
Our Little Secret,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Dabi | Todoroki Touya/Todoroki Shouto', 'Midoriya Izuku/Todoroki Shouto']","['Midoriya Izuku', 'Dabi | Todoroki Touya', 'Todoroki Shouto']",2928,182,20 Aug 2022
Yami- the winged hero,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Midoriya Izuku/Shinsou Hitoshi', 'Bakugou Katsuki/Kirishima Eijirou', 'Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic', 'Class 1-A & Midoriya Izuku', 'Bakugou Katsuki & Class 1-A']","['Midoriya Izuku', 'Bakugou Katsuki', 'Kirishima Eijirou', 'Shinsou Hitoshi', 'Aizawa Shouta | Eraserhead', 'Yamada Hizashi | Present Mic', 'Uraraka Ochako', 'Iida Tenya', 'Akaguro Chizome | Stain', 'Class 1-A (My Hero Academia)', 'Class 1-B (My Hero Academia)', 'Vanguard Action Squad (My Hero Academia)']",50520,2058,20 Aug 2022
Go back,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],[],"['Bakugou Katsuki', 'Midoriya Izuku', 'Class 1-A (My Hero Academia)', 'Aizawa Shouta | Eraserhead', 'Uraraka Ochako', 'Bakugou Mitsuki', 'Bakugou Masaru', ""Bakugou Katsuki's Parents"", 'Kirishima Eijirou', 'Sero Hanta', 'Ashido Mina', 'Kaminari Denki', 'Iida Tenya', 'Inui Ryou | Hound Dog']",119395,5391,17 Aug 2022
Stalker’s Tango,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Midoriya Izuku/Shinsou Hitoshi', 'Minor or Background Relationship(s)', 'Bakugou Katsuki/Uraraka Ochako', 'Jirou Kyouka/Kaminari Denki', 'Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic', 'Ashido Mina/Kirishima Eijirou']","['Shinsou Hitoshi', 'Midoriya Izuku', 'Kaminari Denki', 'Ashido Mina', 'Bakugou Katsuki', 'Aizawa Shouta | Eraserhead', 'Yamada Hizashi | Present Mic', 'Kirishima Eijirou', 'Sero Hanta', 'Uraraka Ochako', 'Asui Tsuyu', 'Eri (My Hero Academia)', 'Jirou Kyouka', 'Yaoyorozu Momo', 'Kayama Nemuri | Midnight']",2039,136,17 Aug 2022
The Spots That We Made For Each Other,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Bakugou Katsuki/Midoriya Izuku', 'Bakugou Katsuki & Midoriya Izuku', 'Bakugou Katsuki & Class 1-A', 'Class 1-A & Midoriya Izuku']","['Midoriya Izuku', 'Bakugou Katsuki', 'Aizawa Shouta | Eraserhead', 'Yagi Toshinori | All Might', 'Kirishima Eijirou', 'Todoroki Shouto', 'Uraraka Ochako', 'Iida Tenya', 'Kaminari Denki', 'Ashido Mina', 'Sero Hanta', 'Tokoyami Fumikage', 'Hagakure Tooru', 'Asui Tsuyu', 'Jirou Kyouka', 'Yaoyorozu Momo', 'Kodai Yui', 'Satou Rikidou', 'Shoji Yuko', 'Ojiro Mashirao', 'Mineta Minoru', 'Class 1-A (My Hero Academia)', 'Midoriya Inko']",3432,97,17 Aug 2022
Friends,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Midoriya Izuku/Shinsou Hitoshi/Todoroki Shouto', 'Fukukado Emi | Ms. Joke/Kayama Nemuri | Midnight', 'Aizawa Shouta | Eraserhead/Shirakumo Oboro/Yamada Hizashi | Present Mic', 'Hatsume Mei/Iida Tenya', 'Shigaraki Tomura | Shimura Tenko/Todoroki Natsuo', 'Todoroki Fuyumi/Usagiyama Rumi | Miruko', 'Dabi | Todoroki Touya/Takami Keigo | Hawks', 'Amajiki Tamaki/Hadou Nejire/Toogata Mirio', 'Iida Tensei | Ingenium & Todoroki Rei', 'Asui Tsuyu/Uraraka Ochako', 'Jirou Kyouka/Yaoyorozu Momo', 'Kendou Itsuka/Monoma Neito']","['Midoriya Izuku', 'Todoroki Shouto', 'Shinsou Hitoshi', 'Kayama Nemuri | Midnight', 'Takami Keigo | Hawks', 'Eri (My Hero Academia)', 'Fukukado Emi | Ms. Joke', 'Aizawa Shouta | Eraserhead', 'Yamada Hizashi | Present Mic', 'Yaoyorozu Momo', 'Iida Tenya', 'Iida Tensei | Ingenium', 'Dabi | Todoroki Touya', 'Hatsume Mei', 'Shirakumo Oboro', 'Jirou Kyouka', 'Amajiki Tamaki', 'Toogata Mirio', 'Hadou Nejire', 'Shigaraki Tomura | Shimura Tenko', 'Todoroki Natsuo', 'Todoroki Fuyumi', 'Usagiyama Rumi | Miruko', 'Monoma Neito', 'Kendou Itsuka', 'Bakugou Katsuki', 'Snipe (My Hero Academia)', 'Kan Sekijirou | Vlad King', 'Uraraka Ochako', 'Asui Tsuyu']",804,9,17 Aug 2022
Quiet Mornings,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],['Jirou Kyouka/Kaminari Denki'],"['Jirou Kyouka', 'Kaminari Denki', 'Bakugou Katsuki', 'Midoriya Izuku', 'Sero Hanta']",529,45,17 Aug 2022
No amount of freedom gets you clean,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Dabi | Todoroki Touya/Takami Keigo | Hawks', 'Dabi | Todoroki Touya & Takami Keigo | Hawks']","['Dabi | Todoroki Touya', 'Takami Keigo | Hawks']",317,27,17 Aug 2022
Breaking: Local Child Has Two Whole Friends Now!,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Midoriya Izuku & Shinsou Hitoshi', 'Asui Tsuyu & Midoriya Izuku']","['Midoriya Izuku', 'Asui Tsuyu', 'Shinsou Hitoshi']",5523,850,17 Aug 2022
Touch My Pain,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Eri & Midoriya Izuku', 'Eri & Toogata Mirio', 'Midoriya Izuku & Yagi Toshinori | All Might', 'Hatsume Mei/Midoriya Izuku', 'Hagakure Tooru/Midoriya Izuku', 'Midoriya Izuku/Hatsume Mei/Hagakure Tooru']","['Midoriya Izuku', 'Eri (My Hero Academia)', 'Toogata Mirio', 'Aizawa Shouta | Eraserhead', 'Bakugou Katsuki', 'Class 1-A (My Hero Academia)', 'Tobita Danjuurou | Gentle Criminal', 'Nezu', 'Hatsume Mei', 'Hagakure Tooru', 'Yagi Toshinori | All Might', 'League of Villains (My Hero Academia)']",9645,230,17 Aug 2022
Everything was so slow (And now I have to pay),['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Dabi | Todoroki Touya/Takami Keigo | Hawks'],"['Dabi | Todoroki Touya', 'Takami Keigo | Hawks']",376,29,17 Aug 2022
The Shopping Hero: Bazaar,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],[],"['Midoriya Izuku', 'Yagi Toshinori | All Might', 'Tsukauchi Naomasa']",56,6,17 Aug 2022
Courting gift,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Bakugou Katsuki/Todoroki Shouto'],"['Bakugou Katsuki', 'Todoroki Shouto', 'Todoroki Enji | Endeavor', 'Todoroki Fuyumi', 'Todoroki Natsuo', 'Bakugou Mitsuki', 'Bakugou Masaru', 'Aizawa Shouta | Eraserhead']",2574,205,17 Aug 2022
a hand to pull you out of hell,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Bakugou Katsuki & Uraraka Ochako'],"['Bakugou Katsuki', 'Uraraka Ochako', 'Aizawa Shouta | Eraserhead']",95,6,17 Aug 2022
on demon time,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Bakugou Katsuki/Todoroki Shouto'],[],5382,593,17 Aug 2022
Achievement Get!: New Friends,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],[],"['Midoriya Izuku', 'Aizawa Shouta | Eraserhead', 'Bakugou Katsuki', 'Kaminari Denki', 'Jirou Kyouka', 'Yagi Toshinori | All Might']",18011,1052,17 Aug 2022
Mi dulce y triste primer amor ❤️ Tu regreso está destinado.,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Bakugou Katsuki/Midoriya Izuku'],"['Midoriya Izuku', 'Bakugou Katsuki', ""Bakugou Katsuki's Parents"", 'Aizawa Shouta | Eraserhead']",55,3,17 Aug 2022
wicked games,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Bakugou Katsuki/Midoriya Izuku'],"['Bakugou Katsuki', 'Midoriya Izuku']",829,71,17 Aug 2022
Vengeful Monster,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],[],[],56,2,17 Aug 2022
Living Dead Girl,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Amajiki Tamaki/Reader'],"['Amajiki Tamaki', 'Kirishima Eijirou', 'Toyomitsu Taishirou | Fat Gum', 'Toogata Mirio', 'Female Reader - Character']",855,68,17 Aug 2022
Call To Me,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Kirishima Eijirou/Todoroki Shouto', 'Bakugou Katsuki/Midoriya Izuku', 'Jirou Kyouka/Kaminari Denki/Shinsou Hitoshi', 'Iida Tenya/Uraraka Ochako']","['Midoriya Izuku', 'Todoroki Shouto', 'Kirishima Eijirou', 'Bakugou Katsuki', 'Iida Tenya', 'Jirou Kyouka', 'Aizawa Shouta | Eraserhead', 'Ashido Mina', 'Sero Hanta', 'Kaminari Denki', 'Shinsou Hitoshi', 'Uraraka Ochako', 'Asui Tsuyu']",7240,338,17 Aug 2022
Why Do My Senpai's Like Me So Much!?,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Hadou Nejire/Midoriya Izuku', 'Fuwa Mawata/Midoriya Izuku', 'Haya Yuuyu/Midoriya Izuku', 'Hadou Nejire/Haya Yuuyu/Fuwa Mawata/Izuku Midoriya', 'Shinsou Hitoshi/Yanagi Reiko']","['Midoriya Izuku', 'Hadou Nejire', 'Haya Yuuyu', 'Fuwa Mawata', 'Shinsou Hitoshi', 'Yanagi Reiko']",11986,271,17 Aug 2022
