title,mixed fandom,ships,characters,hits,kudos,published
Not your average MHA fanfic,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Toga Himiko/Original Female Character(s)'],"['Original Female Character(s)', 'Toga Himiko', 'Bakugou Katsuki', 'Midoriya Izuku', 'Uraraka Ochako', 'Yaoyorozu Momo', 'Hagakure Tooru', 'Akaguro Chizome | Stain']",489,15,21 Mar 2023
英雄情结与白日梦,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],['出胜'],[],52,5,21 Mar 2023
I’m sorry for what I’m about to do,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],['Kayama Nemuri | Midnight & Reader'],"['Kayama Nemuri | Midnight', 'Ashido Mina']",27,,21 Mar 2023
dollmaker,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Todoroki Shouto & Todoroki Siblings', 'Todoroki Rei & Todoroki Shouto', 'Todoroki Enji | Endeavor & Todoroki Shouto', 'Class 1-A & Todoroki Shouto']","['Todoroki Shouto', 'Todoroki Enji | Endeavor', 'Todoroki Fuyumi', 'Todoroki Natsuo', 'Todoroki Rei', 'Class 1-A (My Hero Academia)', 'Aizawa Shouta | Eraserhead', 'Yagi Toshinori | All Might', 'Midoriya Izuku', 'Bakugou Katsuki', 'League of Villains (My Hero Academia)', 'Dabi | Todoroki Touya']",1745,147,21 Mar 2023
Taking The Crown of Hell,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],[],"['Midoriya Izuku', 'Todoroki Shouto', 'Midoriya Inko', 'Sensei | All For One', 'Hakamata Tsunagu | Best Jeanist', 'Iida Tenya', 'Shinsou Hitoshi']",4242,202,21 Mar 2023
Eastward to Eden,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],['Todoroki Fuyumi/Usagiyama Rumi | Miruko'],"['Todoroki Fuyumi', 'Usagiyama Rumi | Miruko']",148,9,21 Mar 2023
Blood and Beans,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Shinsou Hitoshi/Uraraka Ochako', 'Shinsou Hitoshi & Uraraka Ochako', 'Aizawa Shouta | Eraserhead & Yamada Hizashi | Present Mic']","['Shinsou Hitoshi', 'Uraraka Ochako', 'Aizawa Shouta | Eraserhead', 'Yamada Hizashi | Present Mic', 'Eri (My Hero Academia)', 'Kirishima Eijirou', 'Ashido Mina']",1209,67,21 Mar 2023
Yandere (of several kinds) one shots,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Aizawa Shouta | Eraserhead/Original Female Character(s)', 'Aizawa Shouta | Eraserhead & Original Character(s)', 'Midoriya Izuku & Shigaraki Tomura | Shimura Tenko']","['Aizawa Shouta | Eraserhead', 'Original Characters', 'Original Female Character(s)', 'Shigaraki Tomura | Shimura Tenko', 'Midoriya Izuku']",682,12,21 Mar 2023
Chef's Kiss,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Bakugou Katsuki/Kirishima Eijirou', 'Bakugou Katsuki & Midoriya Izuku', 'Bakugou Katsuki & Uraraka Ochako', 'Midoriya Izuku/Todoroki Shouto', 'Kaminari Denki/Shinsou Hitoshi']","['Bakugou Katsuki', 'Midoriya Izuku', 'Kirishima Eijirou', 'Uraraka Ochako', 'Todoroki Shouto', 'Jirou Kyouka', 'Kaminari Denki', 'Ashido Mina', 'Sero Hanta', 'Shinsou Hitoshi']",37428,1431,21 Mar 2023
GLORY GLORY!,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Midoriya Izuku/Uraraka Ochako', 'Midoriya Izuku/Yaoyorozu Momo', 'Kayama Nemuri | Midnight/Midoriya Izuku']","['Midoriya Izuku', 'Uraraka Ochako', 'Yaoyorozu Momo', 'Kayama Nemuri | Midnight']",16902,325,21 Mar 2023
