ships,dates
Class 1-A & Midoriya Izuku,02 Apr 2023
Class 1-B & Midoriya Izuku,02 Apr 2023
Midoriya Izuku & Tsukauchi Naomasa,02 Apr 2023
Aizawa Shouta | Eraserhead & Tsukauchi Naomasa,02 Apr 2023
Bakugou Katsuki & Midoriya Izuku,02 Apr 2023
Midoriya Izuku & Yagi Toshinori | All Might,02 Apr 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,01 Apr 2023
Midoriya Izuku & Nedzu,01 Apr 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,02 Apr 2023
Midoriya Izuku & Original Character(s),02 Apr 2023
Aizawa Shouta | Eraserhead & Tsukauchi Naomasa,02 Apr 2023
Midoriya Izuku & Yagi Toshinori | All Might,02 Apr 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,01 Apr 2023
Midoriya Izuku & Original Character(s),01 Apr 2023
Bakugou Katsuki & Midoriya Izuku,01 Apr 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,01 Apr 2023
Midoriya Izuku & Shinsou Hitoshi,01 Apr 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,01 Apr 2023
Dabi | Todoroki Touya/Takami Keigo | Hawks,01 Apr 2023
Midoriya Inko & Yagi Toshinori | All Might,01 Apr 2023
Aizawa Shouta | Eraserhead & Uraraka Ochako,01 Apr 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,02 Apr 2023
Midoriya Izuku & Shinsou Hitoshi,02 Apr 2023
Midoriya Izuku & Todoroki Shouto,02 Apr 2023
Bakugou Katsuki/Consequences - Relationship,02 Apr 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,31 Mar 2023
Midoriya Izuku & Takami Keigo | Hawks,31 Mar 2023
Midoriya Izuku & Tsukauchi Naomasa,31 Mar 2023
Midoriya Izuku & Yamada Hizashi | Present Mic,31 Mar 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,31 Mar 2023
Aizawa Shouta | Eraserhead/Tsukauchi Naomasa,31 Mar 2023
Tsukauchi Naomasa/Yamada Hizashi | Present Mic,31 Mar 2023
Aizawa Shouta | Eraserhead/Tsukauchi Naomasa/Yamada Hizashi | Present Mic,31 Mar 2023
Midoriya Izuku & Nedzu,31 Mar 2023
Fukukado Emi | Ms. Joke/Kayama Nemuri | Midnight,31 Mar 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,31 Mar 2023
Midoriya Izuku & Tsukauchi Naomasa,31 Mar 2023
Midoriya Izuku & Nedzu,31 Mar 2023
Aizawa Shouta | Eraserhead & Nedzu,31 Mar 2023
Midoriya Izuku & Yamada Hizashi | Present Mic,31 Mar 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,31 Mar 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,28 Mar 2023
Midoriya Izuku & Yagi Toshinori | All Might,28 Mar 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,28 Mar 2023
Midoriya Izuku & Yagi Toshinori | All Might,28 Mar 2023
Aizawa Shouta | Eraserhead/Yagi Toshinori | All Might,28 Mar 2023
Bakugou Katsuki/Midoriya Izuku,28 Mar 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,29 Mar 2023
Midoriya Izuku & Yamada Hizashi | Present Mic,29 Mar 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,29 Mar 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,31 Mar 2023
Midoriya Izuku & Yamada Hizashi | Present Mic,31 Mar 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,31 Mar 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,02 Apr 2023
Midoriya Izuku & Yamada Hizashi | Present Mic,02 Apr 2023
